,Name,Drive,NumberofSeats,Battery,Car_name_link,Efficiency_Wh_km,Fast_charge,Price.DE.,Range,Top_speed,acceleration..0.100.
228,VinFast VF 8 Eco Extended Range,All Wheel Drive,5,87.7,https://ev-database.org/car/1807/VinFast-VF-8-Eco-Extended-Range,206,550.0,52990.0,425,200,5.9
229,VinFast VF 8 Plus Extended Range,All Wheel Drive,5,87.7,https://ev-database.org/car/1809/VinFast-VF-8-Plus-Extended-Range,206,550.0,58890.0,425,200,5.5
230,VinFast VF 9 Extended Range,All Wheel Drive,7,123.0,https://ev-database.org/car/1811/VinFast-VF-9-Extended-Range,237,520.0,89790.0,520,200,6.5
231,Jaguar I-Pace EV400,All Wheel Drive,5,84.7,https://ev-database.org/car/1812/Jaguar-I-Pace-EV400,223,360.0,92400.0,380,200,4.8
232,Dacia Spring Electric 65 Extreme,Front Wheel Drive,4,25.0,https://ev-database.org/car/1813/Dacia-Spring-Electric-65-Extreme,156,170.0,24550.0,160,125,13.7
233,ORA Funky Cat 63 kWh,Front Wheel Drive,5,59.3,https://ev-database.org/car/1814/ORA-Funky-Cat-63-kWh,174,240.0,44490.0,340,160,8.2
234,ORA Funky Cat GT,Front Wheel Drive,5,59.3,https://ev-database.org/car/1815/ORA-Funky-Cat-GT,180,230.0,49490.0,330,160,8.2
235,Polestar 2 Standard Range Single Motor,Rear Wheel Drive,5,67.0,https://ev-database.org/car/1817/Polestar-2-Standard-Range-Single-Motor,165,480.0,50775.0,405,205,6.4
236,Polestar 2 Long Range Single Motor,Rear Wheel Drive,5,79.0,https://ev-database.org/car/1818/Polestar-2-Long-Range-Single-Motor,168,700.0,54475.0,470,205,6.2
237,Polestar 2 Long Range Dual Motor,All Wheel Drive,5,79.0,https://ev-database.org/car/1819/Polestar-2-Long-Range-Dual-Motor,176,670.0,58775.0,450,205,4.5
238,Polestar 2 Long Range Performance,All Wheel Drive,5,79.0,https://ev-database.org/car/1820/Polestar-2-Long-Range-Performance,176,670.0,65275.0,450,205,4.2
239,XPENG P7 RWD Long Range,Rear Wheel Drive,5,82.7,https://ev-database.org/car/1821/XPENG-P7-RWD-Long-Range,167,690.0,,495,200,6.7
240,XPENG P7 AWD Performance,All Wheel Drive,5,82.7,https://ev-database.org/car/1822/XPENG-P7-AWD-Performance,180,640.0,,460,200,4.1
241,XPENG P7 Wing Edition,All Wheel Drive,5,82.7,https://ev-database.org/car/1823/XPENG-P7-Wing-Edition,178,650.0,71200.0,465,200,4.1
242,XPENG G9 RWD Standard Range,Rear Wheel Drive,5,75.8,https://ev-database.org/car/1824/XPENG-G9-RWD-Standard-Range,190,840.0,60000.0,400,200,6.4
243,XPENG G9 RWD Long Range,Rear Wheel Drive,5,93.1,https://ev-database.org/car/1825/XPENG-G9-RWD-Long-Range,190,1020.0,63200.0,490,200,6.4
244,Mini Cooper SE Convertible,Front Wheel Drive,4,28.9,https://ev-database.org/car/1827/Mini-Cooper-SE-Convertible,175,230.0,60000.0,165,150,8.2
245,Volkswagen ID.4 GTX,All Wheel Drive,5,77.0,https://ev-database.org/car/2030/Volkswagen-ID4-GTX,183,630.0,53255.0,420,180,5.4
246,Hyundai Kona Electric 48 kWh,Front Wheel Drive,5,48.4,https://ev-database.org/car/1829/Hyundai-Kona-Electric-48-kWh,167,280.0,41990.0,290,160,7.8
